ZCTA,year,month,nbhd_intls,metric,indicator,neighborhood_count,unit,Neighborhood,Neighborhood_pop,dates2,day,zip_pop,zip_pop_p,zip_count_est
02108,2022,8,BB/BH/DT/NE/WE,Case,Deaths,2,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-08-01,1,4218,0.07705516989404458,1
02108,2022,12,BB/BH/DT/NE/WE,Case,New Cases,216,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-12-01,1,4218,0.07705516989404458,17
02108,2022,6,BB/BH/DT/NE/WE,Case,New Cases,486,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-06-01,1,4218,0.07705516989404458,38
02108,2022,1,BB/BH/DT/NE/WE,Case,Deaths,14,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-01-01,1,4218,0.07705516989404458,2
02108,2022,7,BB/BH/DT/NE/WE,Case,New Cases,364,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-07-01,1,4218,0.07705516989404458,29
02108,2022,10,BB/BH/DT/NE/WE,Case,Deaths,2,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-10-01,1,4218,0.07705516989404458,1
02108,2022,1,BB/BH/DT/NE/WE,Case,New Cases,2531,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-01-01,1,4218,0.07705516989404458,196
02108,2022,10,BB/BH/DT/NE/WE,Case,New Cases,170,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-10-01,1,4218,0.07705516989404458,14
02108,2022,4,BB/BH/DT/NE/WE,Case,New Cases,794,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-04-01,1,4218,0.07705516989404458,62
02108,2022,4,BB/BH/DT/NE/WE,Case,Deaths,0,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-04-01,1,4218,0.07705516989404458,0
02108,2022,2,BB/BH/DT/NE/WE,Case,Deaths,5,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-02-01,1,4218,0.07705516989404458,1
02108,2022,9,BB/BH/DT/NE/WE,Case,New Cases,213,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-09-01,1,4218,0.07705516989404458,17
02108,2022,9,BB/BH/DT/NE/WE,Case,Deaths,1,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-09-01,1,4218,0.07705516989404458,1
02108,2022,7,BB/BH/DT/NE/WE,Case,Deaths,3,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-07-01,1,4218,0.07705516989404458,1
02108,2022,6,BB/BH/DT/NE/WE,Case,Deaths,4,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-06-01,1,4218,0.07705516989404458,1
02108,2022,3,BB/BH/DT/NE/WE,Case,Deaths,5,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-03-01,1,4218,0.07705516989404458,1
02109,2020,2,BB/BH/DT/NE/WE,Case,Deaths,0,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-02-01,1,3639,0.06647789550602849,0
02109,2020,6,BB/BH/DT/NE/WE,Case,New Cases,35,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-06-01,1,3639,0.06647789550602849,3
02109,2020,7,BB/BH/DT/NE/WE,Case,Deaths,1,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-07-01,1,3639,0.06647789550602849,1
02109,2020,4,BB/BH/DT/NE/WE,Case,New Cases,209,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-04-01,1,3639,0.06647789550602849,14
02109,2020,4,BB/BH/DT/NE/WE,Case,Deaths,12,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-04-01,1,3639,0.06647789550602849,1
02109,2020,12,BB/BH/DT/NE/WE,Case,Deaths,4,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-12-01,1,3639,0.06647789550602849,1
02109,2020,10,BB/BH/DT/NE/WE,Case,New Cases,144,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-10-01,1,3639,0.06647789550602849,10
02109,2020,9,BB/BH/DT/NE/WE,Case,Deaths,0,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-09-01,1,3639,0.06647789550602849,0
02109,2020,1,BB/BH/DT/NE/WE,Case,Deaths,0,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-01-01,1,3639,0.06647789550602849,0
02109,2020,2,BB/BH/DT/NE/WE,Case,New Cases,0,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-02-01,1,3639,0.06647789550602849,0
02109,2020,7,BB/BH/DT/NE/WE,Case,New Cases,53,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-07-01,1,3639,0.06647789550602849,4
02109,2020,9,BB/BH/DT/NE/WE,Case,New Cases,72,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-09-01,1,3639,0.06647789550602849,5
02109,2020,1,BB/BH/DT/NE/WE,Case,New Cases,0,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-01-01,1,3639,0.06647789550602849,0
02109,2020,11,BB/BH/DT/NE/WE,Case,Deaths,4,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-11-01,1,3639,0.06647789550602849,1
02109,2020,8,BB/BH/DT/NE/WE,Case,Deaths,1,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-08-01,1,3639,0.06647789550602849,1
02109,2020,3,BB/BH/DT/NE/WE,Case,New Cases,106,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-03-01,1,3639,0.06647789550602849,8
02109,2020,3,BB/BH/DT/NE/WE,Case,Deaths,0,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-03-01,1,3639,0.06647789550602849,0
02109,2020,11,BB/BH/DT/NE/WE,Case,New Cases,415,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-11-01,1,3639,0.06647789550602849,28
02109,2020,8,BB/BH/DT/NE/WE,Case,New Cases,49,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-08-01,1,3639,0.06647789550602849,4
02109,2020,10,BB/BH/DT/NE/WE,Case,Deaths,1,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-10-01,1,3639,0.06647789550602849,1
02109,2020,6,BB/BH/DT/NE/WE,Case,Deaths,0,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-06-01,1,3639,0.06647789550602849,0
02109,2020,5,BB/BH/DT/NE/WE,Case,New Cases,140,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-05-01,1,3639,0.06647789550602849,10
02109,2020,12,BB/BH/DT/NE/WE,Case,New Cases,649,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-12-01,1,3639,0.06647789550602849,44
02109,2020,5,BB/BH/DT/NE/WE,Case,Deaths,4,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-05-01,1,3639,0.06647789550602849,1
02109,2021,10,BB/BH/DT/NE/WE,Case,Deaths,0,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-10-01,1,3627,0.06625867738399707,0
02109,2021,3,BB/BH/DT/NE/WE,Case,New Cases,408,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-03-01,1,3627,0.06625867738399707,28
02109,2021,8,BB/BH/DT/NE/WE,Case,Deaths,0,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-08-01,1,3627,0.06625867738399707,0
02109,2021,6,BB/BH/DT/NE/WE,Case,New Cases,17,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-06-01,1,3627,0.06625867738399707,2
02109,2021,8,BB/BH/DT/NE/WE,Case,New Cases,316,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-08-01,1,3627,0.06625867738399707,21
02109,2021,6,BB/BH/DT/NE/WE,Case,Deaths,1,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-06-01,1,3627,0.06625867738399707,1
02109,2021,1,BB/BH/DT/NE/WE,Case,Deaths,6,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-01-01,1,3627,0.06625867738399707,1
02109,2021,12,BB/BH/DT/NE/WE,Case,Deaths,5,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-12-01,1,3627,0.06625867738399707,1
02109,2021,1,BB/BH/DT/NE/WE,Case,New Cases,644,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-01-01,1,3627,0.06625867738399707,43
02109,2021,3,BB/BH/DT/NE/WE,Case,Deaths,1,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-03-01,1,3627,0.06625867738399707,1
02109,2021,5,BB/BH/DT/NE/WE,Case,Deaths,0,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-05-01,1,3627,0.06625867738399707,0
02109,2021,2,BB/BH/DT/NE/WE,Case,New Cases,346,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-02-01,1,3627,0.06625867738399707,23
02109,2021,10,BB/BH/DT/NE/WE,Case,New Cases,254,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-10-01,1,3627,0.06625867738399707,17
02109,2021,9,BB/BH/DT/NE/WE,Case,Deaths,1,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-09-01,1,3627,0.06625867738399707,1
02109,2021,7,BB/BH/DT/NE/WE,Case,New Cases,136,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-07-01,1,3627,0.06625867738399707,10
02109,2021,7,BB/BH/DT/NE/WE,Case,Deaths,1,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-07-01,1,3627,0.06625867738399707,1
02109,2021,4,BB/BH/DT/NE/WE,Case,New Cases,318,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-04-01,1,3627,0.06625867738399707,22
02109,2021,12,BB/BH/DT/NE/WE,Case,New Cases,1687,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-12-01,1,3627,0.06625867738399707,112
02109,2021,11,BB/BH/DT/NE/WE,Case,Deaths,1,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-11-01,1,3627,0.06625867738399707,1
02109,2021,9,BB/BH/DT/NE/WE,Case,New Cases,358,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-09-01,1,3627,0.06625867738399707,24
02109,2021,5,BB/BH/DT/NE/WE,Case,New Cases,42,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-05-01,1,3627,0.06625867738399707,3
02109,2021,11,BB/BH/DT/NE/WE,Case,New Cases,349,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-11-01,1,3627,0.06625867738399707,24
02109,2021,2,BB/BH/DT/NE/WE,Case,Deaths,3,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-02-01,1,3627,0.06625867738399707,1
02109,2021,4,BB/BH/DT/NE/WE,Case,Deaths,0,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2021-04-01,1,3627,0.06625867738399707,0
02109,2022,12,BB/BH/DT/NE/WE,Case,Deaths,1,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-12-01,1,3559,0.06501644135915235,1
02109,2022,5,BB/BH/DT/NE/WE,Case,New Cases,965,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-05-01,1,3559,0.06501644135915235,63
02109,2022,11,BB/BH/DT/NE/WE,Case,New Cases,139,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-11-01,1,3559,0.06501644135915235,10
02109,2022,8,BB/BH/DT/NE/WE,Case,New Cases,237,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-08-01,1,3559,0.06501644135915235,16
02109,2022,3,BB/BH/DT/NE/WE,Case,New Cases,392,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-03-01,1,3559,0.06501644135915235,26
02109,2022,7,BB/BH/DT/NE/WE,Case,New Cases,364,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-07-01,1,3559,0.06501644135915235,24
02109,2022,11,BB/BH/DT/NE/WE,Case,Deaths,0,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-11-01,1,3559,0.06501644135915235,0
02109,2022,1,BB/BH/DT/NE/WE,Case,New Cases,2531,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-01-01,1,3559,0.06501644135915235,165
02109,2022,12,BB/BH/DT/NE/WE,Case,New Cases,216,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-12-01,1,3559,0.06501644135915235,15
02109,2022,4,BB/BH/DT/NE/WE,Case,New Cases,794,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-04-01,1,3559,0.06501644135915235,52
02109,2022,10,BB/BH/DT/NE/WE,Case,Deaths,2,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-10-01,1,3559,0.06501644135915235,1
02109,2022,2,BB/BH/DT/NE/WE,Case,New Cases,359,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-02-01,1,3559,0.06501644135915235,24
02109,2022,8,BB/BH/DT/NE/WE,Case,Deaths,2,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-08-01,1,3559,0.06501644135915235,1
02109,2022,5,BB/BH/DT/NE/WE,Case,Deaths,0,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-05-01,1,3559,0.06501644135915235,0
02109,2022,10,BB/BH/DT/NE/WE,Case,New Cases,170,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-10-01,1,3559,0.06501644135915235,12
02109,2022,4,BB/BH/DT/NE/WE,Case,Deaths,0,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-04-01,1,3559,0.06501644135915235,0
02109,2022,2,BB/BH/DT/NE/WE,Case,Deaths,5,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-02-01,1,3559,0.06501644135915235,1
02109,2022,9,BB/BH/DT/NE/WE,Case,New Cases,213,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-09-01,1,3559,0.06501644135915235,14
02109,2022,1,BB/BH/DT/NE/WE,Case,Deaths,14,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-01-01,1,3559,0.06501644135915235,1
02109,2022,7,BB/BH/DT/NE/WE,Case,Deaths,3,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-07-01,1,3559,0.06501644135915235,1
02109,2022,6,BB/BH/DT/NE/WE,Case,New Cases,486,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-06-01,1,3559,0.06501644135915235,32
02109,2022,3,BB/BH/DT/NE/WE,Case,Deaths,5,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-03-01,1,3559,0.06501644135915235,1
02109,2022,9,BB/BH/DT/NE/WE,Case,Deaths,1,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-09-01,1,3559,0.06501644135915235,1
02109,2022,6,BB/BH/DT/NE/WE,Case,Deaths,4,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2022-06-01,1,3559,0.06501644135915235,1
02110,2020,4,BB/BH/DT/NE/WE,Case,Deaths,12,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-04-01,1,2340,0.04274753379612715,1
02110,2020,8,BB/BH/DT/NE/WE,Case,New Cases,49,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-08-01,1,2340,0.04274753379612715,3
02110,2020,2,BB/BH/DT/NE/WE,Case,New Cases,0,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-02-01,1,2340,0.04274753379612715,0
02110,2020,4,BB/BH/DT/NE/WE,Case,New Cases,209,count,"Back Bay, Beacon Hill, Downtown, North End, West End",54740,2020-04-01,1,2340,0.04274753379612715,9
